feature1,feature2,correlation
pymfe_eigenvalues.mean,pymfe_range.mean,0.9983549170784014
pymfe_cov.mean,pymfe_range.mean,0.9983456440075005
pymfe_median.mean,pymfe_range.mean,0.9983409806106123
pymfe_g_mean.sd,pymfe_range.mean,0.9983324368568581
pymfe_h_mean.sd,pymfe_range.mean,0.9983322729568272
pymfe_g_mean.mean,pymfe_range.mean,0.9983321599853013
pymfe_h_mean.mean,pymfe_range.mean,0.998331936078586
pymfe_range.mean,pymfe_t_mean.sd,0.998301928549849
pymfe_median.sd,pymfe_range.mean,0.9982884629718984
pymfe_cov.sd,pymfe_range.sd,0.998185194026261
pymfe_cov.sd,pymfe_range.mean,0.9980086543729216
kurtosis_max,kurtosis_std,0.9945797844303197
class_imbalance_ratio,pymfe_kurtosis.mean,0.9945765022128289
n_instances,kurtosis_max,0.9882678591502627
pymfe_kurtosis.sd,pymfe_skewness.sd,0.9880085680303092
skewness_std,kurtosis_mean,0.9873306236177676
class_prob_std,pymfe_freq_class.sd,0.9811000851390473
skewness_std,pymfe_nr_bin,0.980062706311895
class_prob_max,class_prob_std,0.9788036273398812
kurtosis_mean,pymfe_nr_bin,0.9783861168135588
pymfe_kurtosis.mean,pymfe_kurtosis.sd,0.978072112616067
correlation_std,pca_first_pc_variance,0.9761436671714241
n_instances,kurtosis_std,0.975960068364029
pymfe_kurtosis.mean,pymfe_skewness.sd,0.9748872822738772
skewness_max,kurtosis_std,0.9715475466641149
skewness_max,pymfe_nr_bin,0.9699326409822964
n_features,pymfe_nr_outliers,0.9687553586524571
pymfe_nr_num,pymfe_nr_outliers,0.9687553586524571
pymfe_attr_to_inst,pymfe_nr_outliers,0.9687553586524571
pymfe_nr_attr,pymfe_nr_outliers,0.9687553586524571
class_prob_max,class_entropy,0.968163962203004
kurtosis_std,pymfe_nr_bin,0.9677380146816764
skewness_max,kurtosis_max,0.9631462625992754
log_n_features,pymfe_nr_num,0.9603851252713695
log_n_features,pymfe_nr_attr,0.9603851252713695
n_features,log_n_features,0.9603851252713695
log_n_features,pymfe_attr_to_inst,0.9603851252713694
n_classes,pymfe_nr_disc,0.9600684957776485
pymfe_nr_class,pymfe_nr_disc,0.9600684957776485
skewness_max,skewness_std,0.9553771799838239
class_imbalance_ratio,skewness_min,0.9548352930155727
class_imbalance_ratio,pymfe_kurtosis.sd,0.9544453097886684
class_imbalance_ratio,pymfe_skewness.sd,0.9520774737674852
