bracket,round,config,resource,score,time
4,0,"{'hidden_layer_sizes': (108, 147), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.004945471160301542), 'learning_rate_init': np.float64(0.00047619425408414976), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7746140356022986,0.49906206130981445
4,0,"{'hidden_layer_sizes': (144,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.09069298380718611), 'learning_rate_init': np.float64(0.0007576395311759032), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7244076461809046,0.17777466773986816
4,0,"{'hidden_layer_sizes': (241, 111, 255), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(1.16094919296083e-05), 'learning_rate_init': np.float64(0.00036365543388131396), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7551759909122492,0.7013921737670898
4,0,"{'hidden_layer_sizes': (194, 217), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0009794683795960873), 'learning_rate_init': np.float64(0.004022221959402056), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7816324889637523,0.5061061382293701
4,0,"{'hidden_layer_sizes': (129, 143, 124), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00705104189352263), 'learning_rate_init': np.float64(0.0003181557564886411), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7521069509292836,0.7576570510864258
4,0,"{'hidden_layer_sizes': (211, 58, 90), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00010335186841682954), 'learning_rate_init': np.float64(0.0006311253148723613), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.762855374900063,0.4694383144378662
4,0,"{'hidden_layer_sizes': (60, 75, 104), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.07075950285244233), 'learning_rate_init': np.float64(0.0006137214710604008), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7615533187816649,0.3590419292449951
4,0,"{'hidden_layer_sizes': (103, 73, 168), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.00019165559879274018), 'learning_rate_init': np.float64(0.0001601922285473955), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.734479521952871,0.4353501796722412
4,0,"{'hidden_layer_sizes': (55,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.006051208796366006), 'learning_rate_init': np.float64(0.00015691460313388363), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.6058157651496288,0.15984416007995605
4,0,"{'hidden_layer_sizes': (179, 52), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00023873780751490164), 'learning_rate_init': np.float64(0.003211779747954273), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7592762667144205,0.23941397666931152
4,0,"{'hidden_layer_sizes': (56, 81), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0032722427568794487), 'learning_rate_init': np.float64(0.00044140500264957107), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7227787013310575,0.21308684349060059
4,0,"{'hidden_layer_sizes': (59,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00010039426060575804), 'learning_rate_init': np.float64(0.006154639277417577), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7603768396769747,0.16608524322509766
4,0,"{'hidden_layer_sizes': (160,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.00029124445130267234), 'learning_rate_init': np.float64(0.0003629866489062596), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7588613786336161,0.3529808521270752
4,0,"{'hidden_layer_sizes': (162, 59), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0011264345854386068), 'learning_rate_init': np.float64(0.00027547887385958014), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7503266341110154,0.33887696266174316
4,0,"{'hidden_layer_sizes': (289, 141, 53), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.0009545547035522657), 'learning_rate_init': np.float64(0.00028521200654886276), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7563852386652586,0.6250770092010498
4,0,"{'hidden_layer_sizes': (168, 109, 121), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.0012968231114974748), 'learning_rate_init': np.float64(0.0001612456876589724), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.760855992822009,0.7354319095611572
4,0,"{'hidden_layer_sizes': (65, 222), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(6.051750756501251e-05), 'learning_rate_init': np.float64(0.007768458386078354), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7784577900748001,0.27465200424194336
4,0,"{'hidden_layer_sizes': (63, 57), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00016464751138464632), 'learning_rate_init': np.float64(0.000705823807448341), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7613233953351838,0.36678123474121094
4,0,"{'hidden_layer_sizes': (55,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(1.6356930332338013e-05), 'learning_rate_init': np.float64(0.0011204117457615564), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7366057728710969,0.16496491432189941
4,0,"{'hidden_layer_sizes': (155,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.02302820462620712), 'learning_rate_init': np.float64(0.0001208565944405645), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7007430334896748,0.21733593940734863
