dataset,budget_level,budget_seconds,method,run,seed,best_score,configs_evaluated,time_used
fashion_mnist,medium,300,sha,6,6,0.8837377006505052,37,314.46706199645996
fashion_mnist,medium,300,sha,7,7,0.8898985361172621,39,323.04871582984924
fashion_mnist,medium,300,sha,8,8,0.8857499942354045,40,311.9054582118988
fashion_mnist,medium,300,sha,9,9,0.8845815895560644,40,298.0399317741394
fashion_mnist,medium,300,hyperband,0,0,0.8837702553133339,111,317.91948080062866
fashion_mnist,medium,300,hyperband,1,1,0.8886712820888497,112,320.2260432243347
fashion_mnist,medium,300,hyperband,2,2,0.8841082335525844,111,315.07190203666687
fashion_mnist,medium,300,hyperband,3,3,0.8831815055719132,109,336.3222436904907
fashion_mnist,medium,300,hyperband,4,4,0.8842432975933444,111,304.92679619789124
fashion_mnist,medium,300,hyperband,5,5,0.8849848622865553,110,304.0161509513855
fashion_mnist,medium,300,hyperband,6,6,0.8860327957505154,114,320.5120859146118
fashion_mnist,medium,300,hyperband,7,7,0.8852356586231328,116,319.6762490272522
fashion_mnist,medium,300,hyperband,8,8,0.8847200095829582,112,304.6097891330719
fashion_mnist,medium,300,hyperband,9,9,0.8842448893096381,112,312.9672050476074
fashion_mnist,high,600,random_search,0,0,0.8868060907940646,16,575.0593099594116
fashion_mnist,high,600,random_search,1,1,0.8859218540116512,16,603.2021248340607
fashion_mnist,high,600,random_search,2,2,0.8893074554355677,20,579.9638531208038
fashion_mnist,high,600,random_search,3,3,0.8863863369990717,17,581.1723890304565
fashion_mnist,high,600,random_search,4,4,0.8861227212728581,17,572.760064125061
fashion_mnist,high,600,random_search,5,5,0.8875193144098441,18,581.1835861206055
fashion_mnist,high,600,random_search,6,6,0.8872793143660201,18,621.1373388767242
fashion_mnist,high,600,random_search,7,7,0.8898985361172621,19,599.7624940872192
fashion_mnist,high,600,random_search,8,8,0.886309031780518,15,580.9345588684082
fashion_mnist,high,600,random_search,9,9,0.8873192708856497,18,574.1970319747925
fashion_mnist,high,600,sha,0,0,0.8882008895343203,40,340.1490020751953
fashion_mnist,high,600,sha,1,1,0.8894415181104031,40,622.5044980049133
fashion_mnist,high,600,sha,2,2,0.8845846615790713,40,455.1603410243988
fashion_mnist,high,600,sha,3,3,0.8844131849194473,40,457.8185930252075
fashion_mnist,high,600,sha,4,4,0.8861227212728581,40,432.9160912036896
fashion_mnist,high,600,sha,5,5,0.8871982629120444,40,506.93661403656006
fashion_mnist,high,600,sha,6,6,0.8851775554801419,40,428.17340540885925
fashion_mnist,high,600,sha,7,7,0.8898985361172621,40,375.99123096466064
fashion_mnist,high,600,sha,8,8,0.8857499942354045,40,311.736300945282
fashion_mnist,high,600,sha,9,9,0.8845815895560644,40,298.1894919872284
fashion_mnist,high,600,hyperband,0,0,0.8880249951362672,120,635.3846881389618
fashion_mnist,high,600,hyperband,1,1,0.8894415181104031,121,689.7577888965607
fashion_mnist,high,600,hyperband,2,2,0.8876021757505845,140,604.098965883255
fashion_mnist,high,600,hyperband,3,3,0.8857934660458037,121,605.328008890152
fashion_mnist,high,600,hyperband,4,4,0.8872159244652499,131,602.8813607692719
fashion_mnist,high,600,hyperband,5,5,0.8875343953579901,121,616.5200748443604
fashion_mnist,high,600,hyperband,6,6,0.8864623666863173,138,603.9220659732819
fashion_mnist,high,600,hyperband,7,7,0.8898985361172621,147,601.3403608798981
fashion_mnist,high,600,hyperband,8,8,0.8883382152897984,121,629.5730290412903
fashion_mnist,high,600,hyperband,9,9,0.8894253602028673,129,604.5152831077576
mnist,very_low,60,random_search,0,0,0.9710030830344242,2,57.4989218711853
mnist,very_low,60,random_search,1,1,0.9665278132035834,1,190.80725502967832
